#This is a comment
#Particle charge px[MeV] py[MeV] pz[Mev]
electron 1 -134.105 44.4109 -101.741
pion 1 -96.354 -206.571 110.363
electron -1 39.2582 150.688 167.069
pion -1 -177.207 -169.949 -227.367
pion -1 -90.7957 -39.7358 45.3716
muon -1 239.146 -167.65 63.1898
pion -1 -118.673 -51.9536 -179.351
pion 1 -169.433 45.0203 -139.763
muon -1 -119.221 -147.265 116.645
pion 1 118.755 -215.251 -244.599
pion 1 191.918 -115.739 -233.645
muon -1 -191.645 -54.5079 -183.98
electron 1 -179.213 249.946 -113.196
electron -1 92.965 -9.04927 -247.658
muon -1 21.039 166.311 -46.1209
pion -1 215.235 -159.916 -102.737
electron 1 161.565 244.906 139.644
pion -1 -147.101 -208.726 175.215
pion -1 -52.1072 -131.032 -210.279
electron -1 118.913 246.099 21.5652
pion -1 165.973 -34.1418 1.77095
pion 1 60.9502 -158.98 33.7674
muon 1 185.629 64.434 151.442
electron -1 -27.3357 -66.772 24.3769
muon 1 143.779 60.7747 117.261
pion -1 15.3427 -194.905 -31.3217
pion 1 215.713 18.8791 127.181
muon 1 139.06 147.548 -116.432
muon -1 -131.536 152.583 -16.1831
muon -1 125.387 132.435 173.93
muon 1 241.577 122.294 38.7815
electron -1 -82.5836 220.4 43.5975
muon 1 28.4692 -79.9068 165.709
muon -1 149.388 25.2984 138.986
muon -1 -102.11 231.427 -100.32
electron 1 134.752 -236.467 135.823
pion 1 -188.907 -196.281 42.8323
pion 1 -110.726 181.011 94.7789
muon -1 136.601 151.959 -16.226
pion 1 -30.867 128.011 -158.646
electron -1 -145.071 -149.857 47.3099
electron -1 -106.06 -63.1919 -208.724
pion 1 34.2732 86.4434 102.411
muon 1 2.49891 151.363 43.1945
muon -1 13.4437 212.811 205.622
muon -1 -123.6 -49.3394 -148.788
electron -1 66.0086 -148.579 185.884
muon -1 -110.7 -116.058 155.394
muon -1 -105.74 -161.734 -88.7174
pion 1 155.237 -145.503 239.949
muon 1 -2.00155 76.3649 34.6506
muon -1 -134.044 6.7373 -231.439
muon 1 -43.5857 182.529 27.9205
pion -1 -91.0453 -67.1058 -15.0264
electron 1 124.274 -126.624 -239.285
electron -1 85.2803 209.556 43.8187
electron -1 18.6109 -48.7818 -139.243
pion -1 66.8596 -62.2411 51.7506
pion -1 2.7251 -40.54 231.31
electron 1 -249.707 -96.6713 -3.66361
muon -1 -168.288 156.563 229.801
muon 1 -149.258 239.126 102.611
pion 1 51.517 113.52 -9.79082
pion -1 100.73 -87.0574 -194.93
pion 1 91.9751 165.544 92.0873
muon -1 -91.0887 -92.2724 -210.696
pion -1 158.598 200.063 232.758
muon -1 -237.563 -139.148 229.247
muon -1 -220.095 -54.384 136.02
electron 1 91.8559 44.3117 -55.0679
pion -1 124.6 -95.9489 -3.66366
electron -1 -90.1858 140.724 7.03114
pion -1 -139.101 108.63 120.371
pion -1 112.079 -146.702 -170.574
electron -1 102.933 84.7083 -158.584
pion -1 -3.03592 -174.923 48.2921
pion -1 151.436 -60.8868 -212.961
muon -1 111.6 15.9562 217.973
electron -1 -106.802 216.145 -70.331
electron 1 229.516 2.27854 75.5226
electron -1 -90.1344 -10.1579 -73.988
electron 1 -245.833 -58.8633 116.406
pion 1 -85.1405 -13.1231 8.20532
muon 1 -80.7776 236.078 182.607
pion 1 27.0231 181.011 -22.2728
muon -1 143.167 -181.437 238.312
muon 1 0.107369 -71.0819 57.8671
muon -1 -182.31 -117.795 81.3993
muon -1 -235.938 -55.1593 203.879
pion -1 173.961 -65.9995 157.971
muon -1 171.062 -106.412 10.6526
pion 1 38.6564 -225.934 -22.5886
pion -1 21.1096 169.648 18.6526
pion -1 -115.124 -242.456 -230.202
pion -1 -76.8771 -108.349 -155.553
pion -1 194.616 219.174 -129.114
electron -1 148.666 -158.218 229.996
muon 1 -40.8551 150.936 -218.073
muon -1 -175.816 5.43641 -78.6767
pion 1 -65.077 92.3294 184.898
pion -1 -192.644 -67.5617 -92.7653
pion 1 204.367 -187.579 214.459
muon -1 -174.672 142.179 -152.438
muon -1 -29.257 196.88 13.1499
pion -1 -103.823 130.281 160.117
electron 1 -77.8452 -162.304 -173.197
pion 1 -177.886 -150.153 142.503
pion -1 146.372 230.282 -120.83
electron 1 187.564 59.1203 111.282
pion -1 -14.0556 -179.965 -196.505
muon 1 -243.774 135.711 -232.642
pion 1 180.719 -85.1405 8.76625
electron -1 -142.728 25.853 -14.427
pion 1 -144.516 36.8165 -81.0104
electron 1 -72.6788 -193.962 -34.3384
electron 1 176.215 -101.872 87.0346
electron -1 -242.341 -93.8814 190.946
pion -1 74.9953 -226.562 -58.0038
pion 1 80.601 104.474 -215.15
pion -1 228.886 187.047 218.748
muon 1 -61.6002 31.6908 -53.9006
muon -1 84.6762 83.5597 21.1706
electron 1 -229.102 16.6156 217.695
muon -1 -35.4258 19.6599 -119.528
muon -1 -225.996 -62.0903 -39.9939
muon -1 249.445 221.18 -51.4468
pion -1 -105.337 -42.8752 47.6308
muon 1 73.1349 -172.322 -216.763
pion -1 -227.564 109.35 -116.833
muon -1 -73.4031 -102.563 -235.287
muon -1 82.3541 38.4001 -11.8152
muon 1 -115.851 -218.506 162.244
muon -1 -113.072 -0.142297 -153.482
pion -1 58.6586 -23.142 -81.4319
electron -1 156.327 -125.612 58.3512
muon -1 -224.014 -89.143 76.3874
pion 1 78.0546 -162.317 121.299
muon -1 -242.088 49.0689 -51.907
muon 1 209.282 -92.2583 -65.0632
pion 1 -224.893 212.017 -245.056
electron -1 -196.455 -238.3 244.525
electron 1 156.972 74.9355 -4.60571
electron 1 -88.2076 108.68 -180.648
muon -1 95.0578 -203.426 116.806
electron 1 -147.229 141.433 178.928
muon 1 105.719 -227.2 163.08
muon -1 112.67 -244.321 -187.11
muon -1 -164.095 -240.749 -36.2564
muon 1 119.225 -114.869 74.8841
muon 1 53.5688 81.5343 -179.776
electron 1 -175.624 -168.272 -17.0187
electron -1 70.2016 32.4728 9.00801
electron 1 -71.765 -31.6566 -98.1745
pion 1 211.946 5.59741 -26.569
electron 1 -43.8776 -202.722 -21.8505
muon -1 -200.581 70.0611 179.684
pion -1 205.864 -236.592 204.893
pion -1 -45.4735 64.0729 224.021
muon -1 -211.234 87.6989 -105.079
muon -1 -132.075 -1.39648 -179.633
muon -1 -105.071 88.0725 228.895
muon -1 195.166 75.4607 181.354
muon 1 -189.491 -188.208 -67.9179
muon -1 -92.8008 128.884 70.4443
muon -1 -204.016 -130.59 125.977
muon 1 83.054 156.965 110.978
pion 1 144.515 87.4497 -35.6855
pion -1 202.009 -194.845 -191.648
electron 1 -36.8674 219.038 218.857
pion 1 137.574 -22.3658 -149.692
pion 1 76.7568 235.523 -171.694
muon -1 -52.3196 -172.413 210.896
muon 1 232.07 178.342 -97.0495
muon -1 201.445 104.062 -34.9271
electron -1 -136.9 -43.2894 229.223
pion 1 -194.807 16.569 60.3049
pion -1 -70.9546 -4.64512 -200.914
muon 1 197.289 44.3387 227.029
electron 1 92.0083 -161.222 -185.555
electron -1 -148.987 -166.259 127.878
muon 1 202.621 100.912 -166.304
muon -1 -216.41 194.352 -204.878
pion -1 -191.377 -14.7489 48.3994
muon 1 -62.3076 23.3916 -73.4044
muon -1 -104.149 192.889 -32.9459
muon -1 99.0043 128.499 153.247
pion 1 -225.629 -55.2413 -27.6145
electron -1 -242.688 -105.295 198.136
electron -1 201.804 -82.7795 217.26
electron -1 129.11 237.037 -61.5862
pion 1 -115.451 -22.3182 -135.687
electron 1 -142.061 -34.9283 -157.167
muon 1 -106.438 -222.021 -132.27
pion -1 -231.788 -26.869 17.6804
muon -1 -192.275 -43.2344 -75.4436
pion 1 63.8584 248.172 -49.1211
pion 1 -200.543 -30.0321 218.757
electron -1 48.544 118.826 139.251
electron 1 25.7841 -131.994 -51.4197
electron -1 -111.927 85.2117 -212.281
muon -1 -148.213 -206.469 -81.2183
muon -1 217.07 89.6816 68.1472
electron -1 -88.097 175.834 -40.2288
electron 1 -189.78 87.1974 -158.873
muon 1 99.3804 -227.641 94.4039
electron -1 -51.1361 165.994 84.2877
muon 1 -132.255 -79.8944 64.093
muon -1 -108.041 -183.866 142.356
muon -1 -38.118 109.635 29.3708
muon -1 19.722 116.64 -105.333
muon -1 -194.009 -220.118 248.394
pion 1 -240.365 79.7196 220.585
pion 1 169.294 -50.326 -33.35
electron -1 -244.671 180.972 -24.4211
pion 1 98.8546 -112.446 -83.0915
muon -1 -13.7439 106.954 174.624
pion -1 45.9078 48.7094 150.031
electron 1 -129.192 153.799 78.6539
muon 1 29.1608 -194.281 3.83971
pion 1 -119.55 -69.8657 236.527
muon -1 218.028 244.737 -226.858
electron -1 -90.6963 10.7417 -243.33
electron 1 -170.324 42.4485 -153.047
electron -1 -197.143 130.815 -103.393
pion -1 172.04 142.194 -188.295
electron -1 -86.6011 82.0906 -247.39
muon -1 233.019 -170.091 36.204
electron -1 -188.071 53.3598 -22.4178
pion 1 49.3071 -117.851 -169.353
electron 1 103.888 -75.7881 113.476
muon -1 95.0761 -90.0114 -72.3091
electron 1 -25.7499 235.587 -134.871
electron -1 164.614 103.606 -75.0326
muon -1 -228.184 -91.2836 -80.1219
electron 1 74.9301 201.566 243.677
muon -1 113.931 162.128 -167.544
electron 1 -77.7359 103.128 89.4725
muon 1 39.5027 -179.434 212.674
electron 1 0.223258 -42.685 164.81
muon -1 120.998 43.7669 104.091
muon 1 -182.884 37.8423 2.14028
muon -1 117.909 221.607 111.541
muon 1 -163.23 165.189 245.078
muon -1 -45.9376 -85.8601 -237.68
muon -1 -109.032 129.992 16.0713
pion -1 124.638 65.0781 -209.079
pion 1 -45.7799 -1.26604 205.542
pion 1 -69.884 -38.8811 107.849
pion -1 218.859 -47.3698 149.043
pion -1 6.70487 -131.357 -140.398
muon -1 -237.01 60.0972 -105.669
pion 1 -198.363 119.284 -110.223
pion -1 116.967 80.0504 -150.481
muon -1 -139.805 187.316 247.714
pion -1 -243.863 29.3214 61.3979
muon -1 -202.936 -136.403 -190.441
muon 1 53.8986 130.662 123.297
pion -1 -234.809 -40.732 -39.1195
electron -1 -187.413 99.5453 166.335
muon -1 -139.922 122.688 39.4483
muon 1 224.924 38.19 172.558
muon 1 -62.3142 139.479 -155.749
muon -1 -213.699 223.425 244.639
muon 1 -2.31705 208.906 31.5411
muon -1 -207.174 -138.939 -219.981
electron 1 241.76 138.792 -141.188
pion 1 -43.1283 138.149 127.753
muon 1 217.665 18.609 130.54
electron 1 100.278 -81.3413 -187.712
electron 1 15.0265 -167.507 -239.145
muon -1 168.598 14.9343 -166.229
pion -1 -10.6102 42.187 121.365
electron 1 -169.96 185.607 -114.43
electron 1 162.544 163.376 59.0297
pion -1 137.115 55.1017 163.753
pion 1 73.1241 160.134 -188.259
electron 1 27.6594 -169.364 125.807
electron 1 -31.2058 -145.6 195.781
muon 1 -130.444 74.9961 16.3603
pion -1 187.911 32.5145 -68.9309
muon 1 93.7571 249.467 -81.7118
muon 1 235.588 -185.738 -24.8648
pion -1 -84.4143 -45.0128 -215.654
electron -1 108.989 -202.684 -129.899
muon 1 -95.1466 -2.71061 175.508
muon -1 226.121 149.432 -125.402
muon 1 -235.511 -183.017 163.739
pion 1 0.209883 245.202 245.617
muon -1 -221.846 -120.061 199.82
pion 1 103.021 -62.4715 156.646
muon 1 38.4263 57.9661 -10.9746
muon 1 -48.4878 246.209 88.3497
pion 1 202.745 25.7047 140.013
pion -1 169.031 -61.4351 152.321
muon -1 -119.407 -0.0313289 -193.841
pion -1 153.57 62.0683 -246.085
pion -1 -243.924 -173 -132.35
pion 1 -203.286 195.814 -119.723
muon -1 57.4 236.221 -64.5459
muon -1 -228.337 182.199 171.996
muon 1 -180.845 229.329 -99.9163
electron 1 -10.1281 160.851 17.5511
muon 1 -153.155 185.971 -29.193
pion 1 161.804 88.2363 32.5597
pion -1 67.9676 -94.3823 129.249
pion 1 153.725 158.29 -39.0695
muon 1 -53.8143 12.4338 -191.357
muon -1 -117.065 1.39154 75.3965
pion 1 -84.038 222.471 147.001
pion 1 -10.8226 140.031 112.388
muon 1 192.086 28.7632 158.097
pion -1 -246.323 -1.62771 -176.335
muon 1 221.504 -181.064 -246.403
electron 1 104.092 4.16843 151.835
muon -1 -75.9809 40.4085 180.911
pion 1 -212.041 -155.826 -241.835
electron -1 174.851 -232.044 -215.878
muon -1 -0.532845 162.526 108.951
muon -1 -227.856 25.6062 246.571
muon -1 -11.9278 -100.503 -21.9149
muon -1 -148.087 101.722 -246.382
electron 1 -229.254 -174.51 131.784
pion 1 -97.5987 -103.878 -147.065
muon 1 -100.559 -62.5835 143.998
electron 1 -216.621 -60.8029 -5.38021
pion -1 173.651 0.84581 202.873
pion 1 -166.493 48.026 167.419
muon 1 -230.246 135.316 -168.659
pion -1 15.8857 -0.487179 59.2778
electron 1 224.812 51.1203 -197.534
pion -1 -28.0701 223.118 169.795
muon -1 -140.056 -11.8364 -28.474
muon -1 -139.67 55.7116 -200.466
muon -1 -13.6623 102.499 -201.335
electron 1 118.308 -168.412 97.3819
electron 1 183.225 -31.7004 189.879
pion 1 97.6293 209.986 -139.291
muon -1 159.091 191.122 44.4234
electron 1 4.88147 -239.224 -142.57
electron 1 -29.9282 -86.8388 -125.89
muon -1 -137.8 95.6974 -142.849
pion -1 -111.385 -25.5786 -150.445
electron 1 50.3039 -188.75 -214.977
muon -1 112.979 -197.03 -9.38704
muon -1 -27.1689 -225.922 182.197
muon 1 -222.763 189.32 -36.3934
muon 1 -147.92 58.0099 130.029
electron 1 -180.256 51.5186 -123.615
pion 1 -206.174 -58.7063 189.75
pion -1 -199.909 11.6045 26.5943
muon -1 -165.349 -164.04 -160.888
pion -1 126.362 86.1007 25.3629
muon 1 -77.2687 61.1888 113.464
muon -1 -196.759 135.104 -51.7535
electron 1 -194.898 220.352 141.092
muon 1 -169.412 -95.5382 -53.4318
pion 1 86.1724 -98.9929 113.641
pion -1 -191.444 162.657 165.059
pion 1 -103.276 233.799 56.8262
pion -1 -156.029 -160.93 144.517
muon -1 -6.99616 -143.634 -154.336
muon -1 -245.617 126.699 13.0364
electron 1 125.103 -180.687 -76.4048
pion -1 -76.7334 -106.686 -152.571
muon -1 206.567 -69.7341 -37.202
pion -1 229.598 35.9805 -45.5328
pion -1 236.543 47.0732 16.4265
muon -1 -238.209 -117.135 -115.873
pion 1 -167.947 -23.9329 -184.153
electron -1 159.257 43.9144 -106.773
pion 1 -199.385 -85.4368 11.9094
muon -1 195.37 -4.14175 -60.9146
pion -1 -149.814 139.938 -22.4574
muon 1 -116.667 -112.504 3.72481
muon 1 -153.167 -75.5192 -175.876
electron 1 110.519 -243.737 70.3618
pion -1 48.3039 115.971 -80.6885
muon -1 -61.9719 86.3872 -61.4924
electron 1 -246.687 -158.966 165.898
muon -1 212.848 183.088 -135.311
electron 1 54.5441 -69.8283 198.591
electron 1 -119.662 -2.94729 -201.372
pion 1 133.578 167.624 -18.9613
muon -1 20.7925 141.43 -117.59
muon -1 -83.2044 -122.646 -91.8038
electron 1 -199.412 -101.467 138.778
muon -1 -87.2026 84.0429 -56.8284
muon 1 -173.806 -94.0451 51.2354
pion -1 -184.97 171.712 114.692
pion -1 36.7971 -16.1975 -59.8395
muon -1 2.79465 -44.4951 171.182
electron 1 -52.6364 171.809 -96.297
electron 1 197.751 -100.414 -153.997
pion -1 80.0653 180.367 -70.1027
muon 1 209.371 136.975 41.9213
pion -1 158.06 201.473 121.896
pion -1 170.116 -147.216 -151.751
muon -1 -57.7642 -81.8038 233.884
muon 1 159.741 -78.9978 -139.145
pion 1 149.127 -140.022 -26.535
muon -1 9.4998 157.412 62.3353
electron 1 198.7 238.977 178.693
muon -1 -219.475 94.3671 219.184
muon 1 67.7328 61.3937 176.577
pion 1 23.2283 -215.131 96.7444
pion 1 221.647 128.81 132.177
electron 1 -1.44494 -193.639 -116.446
electron 1 143.757 48.0289 241.502
muon -1 -201.409 -183.557 -45.7861
pion 1 -193.864 -53.2697 -143.074
pion -1 64.0444 -201.455 51.5819
electron -1 -93.7581 -37.7024 59.1353
muon 1 168.922 -114.92 -153.411
pion -1 44.3015 96.748 59.1405
electron -1 196.757 153.539 -104.99
muon 1 169.604 60.3081 116.365
muon -1 200.567 237.805 211.225
pion -1 -178.456 180.999 -109.888
pion -1 -11.1241 106.774 238.325
electron 1 245.149 -139.702 -158.162
pion 1 66.2062 97.7544 193.352
electron -1 67.0919 -241.875 152.165
muon -1 -52.2024 -198.841 204.98
muon -1 193.233 -148.117 -50.8188
electron 1 106.932 62.2431 221.48
electron 1 -203.713 27.7597 -192.46
electron -1 -150.855 227.42 208.695
pion -1 170.861 -0.390866 -60.9026
pion 1 -55.3453 -9.69373 167.278
pion -1 59.5008 -178.148 -111.935
electron -1 -156.215 -99.2023 127.638
electron -1 147.663 7.60136 -228.031
muon -1 190.585 177.349 -109.45
pion 1 48.5649 42.1362 -44.7866
pion -1 42.565 -41.0681 -112.517
electron 1 176.46 -215.987 21.1914
electron 1 97.6253 -58.2089 97.8408
pion -1 114.791 60.8799 83.8985
electron -1 72.3678 -223.454 132.46
muon -1 -102.429 -120.392 232.047
electron -1 -84.7605 -219.527 -211.737
muon 1 -80.968 151.556 106.273
pion 1 -93.6223 -229.859 -107.798
muon -1 117.762 9.27561 -22.6583
muon 1 38.5509 223.969 -238.648
electron -1 228.695 -149.286 247.312
muon -1 -228.7 -238.595 27.0777
electron 1 -94.5994 58.5337 -26.8135
electron -1 -89.7311 202.629 -62.7914
electron -1 18.0585 -227.873 -229.704
muon -1 -105.21 100.926 -36.9702
muon -1 -79.8118 221.943 -57.4026
pion -1 222.204 242.679 -9.89719
electron -1 -195.916 4.61634 24.6865
muon -1 152.284 -49.0702 -203.915
muon -1 -223.279 195.559 -227.103
pion 1 100.937 164.569 169.503
muon -1 234.166 75.3523 30.8113
pion -1 199.584 -74.1719 122.015
electron -1 90.7917 24.5713 59.234
pion -1 102.119 96.92 -126.897
muon -1 -206.596 126.81 62.8933
electron -1 -77.1258 -34.0739 -108.088
electron 1 -246.915 -235.565 52.4537
muon 1 211.41 186.719 -47.5606
electron -1 115.569 39.8759 -81.1672
pion -1 -245.56 245.537 56.5833
electron 1 152.776 233.666 118.741
pion -1 -45.8171 -153.66 122.712
pion 1 -72.2345 225.086 -70.6521
muon -1 238.502 -20.6233 213.083
muon 1 -117.493 110.813 -191.855
pion -1 36.1924 121.322 -14.0783
muon -1 7.82304 -104.634 62.0588
electron -1 136.717 93.2782 216.607
pion -1 -157.121 -51.5372 21.2316
muon 1 63.7715 -193.992 87.2687
pion -1 182.772 203.394 -40.2446
electron -1 10.3258 -81.2707 -170.111
muon 1 100.368 -25.5922 16.9566
electron 1 -30.4291 -101.233 -43.7356
electron -1 -223.324 11.9444 -187.926
pion -1 -209.483 9.96624 183.689
electron -1 -178.487 -11.0992 183.521
muon -1 -111.567 119.291 152.164
electron 1 159.747 76.9481 101.421
electron 1 154.878 -36.4257 -95.631
muon 1 92.7867 217.8 -216.116
muon -1 -1.88768 184.382 50.319
pion 1 -202.968 -77.6206 7.87627
muon -1 77.4798 -175.037 -190.577
muon -1 83.5468 -146.017 144.956
electron 1 128.759 -211.909 -223.393
pion -1 33.1518 -222.702 -243.764
muon 1 193.015 -17.6458 -107.362
pion 1 249.523 -31.8156 144.789
muon -1 169.182 -41.7386 192.679
pion 1 -142.255 143.242 -8.68721
pion 1 40.7424 -64.4623 119.92
pion 1 198.704 36.1616 237.886
muon -1 -221.515 -245.515 -88.1925
electron -1 -47.9919 -158.406 -170.826
pion -1 -155.784 15.3008 -79.631
muon 1 -48.5517 -113.211 -200.637
muon -1 -57.1352 -193.378 62.3994
muon -1 -45.3073 35.6366 -234.117
pion 1 230.069 225.739 87.6015
muon -1 -249.099 194.222 -191.629
muon -1 132.296 226.956 30.0958
pion -1 -114.759 17.1783 201.434
electron -1 -116.292 218.374 -27.1369
muon 1 149.956 141.99 55.4604
muon -1 -71.7285 213.926 -158.82
muon 1 148.44 147.053 -167.382
pion -1 177.83 142.178 -175.58
pion -1 -114.948 184.255 202.038
electron -1 -126.11 68.6327 -217.662
pion 1 -200.968 40.6368 -179.683
muon -1 6.99457 226.375 -164.971
muon 1 -79.6338 229.155 150.483
pion -1 -192.915 -40.9636 180.362
electron 1 166.568 62.2629 -52.5485
muon -1 -86.2538 -172.855 204.712
pion -1 -38.2391 -230.83 82.8694
muon -1 32.8332 -69.4512 -61.7906
muon -1 -160.825 -155.049 178.514
muon 1 22.0484 161.637 -227.028
electron -1 -226.676 223.795 -187.62
muon -1 202.476 9.06333 -21.0798
electron -1 -158.456 68.0782 174.08
pion -1 43.2437 8.37539 113.521
electron 1 -81.3086 -2.69373 22.061
electron -1 167.781 133.361 -245.887
electron 1 97.163 145.39 35.7204
electron -1 93.8118 -86.3818 -231.853
pion 1 -7.18726 91.1555 84.0413
electron 1 -154.095 111.175 -26.0005
muon 1 152.887 191.828 127.015
pion -1 -7.58797 36.0021 -61.6747
electron -1 -156.983 158.097 47.0132
electron 1 108.865 63.8986 -208.238
muon -1 -85.0462 119.304 -89.5828
electron 1 -180.382 212.085 17.5991
electron 1 -184.794 141.557 -134.716
electron -1 100.249 39.0756 113.156
muon -1 212.555 45.4284 183.978
pion -1 -123.489 166.878 -167.089
pion 1 69.6574 155.618 113.423
muon -1 -127.293 -125.019 -63.3222
muon -1 -187.297 -104.57 -167.812
muon 1 183.395 -175.246 -190.764
muon 1 231.363 248.113 -217.627
pion 1 -218.138 60.9234 -191.538
muon 1 0.105989 242.713 100.835
pion -1 -101.509 10.7126 211.571
electron -1 23.2145 -180.889 191.447
pion 1 -91.1085 56.0304 -14.4794
muon 1 188.122 -241.493 221.871
muon -1 -83.0839 76.1177 -130.366
pion 1 -113.328 45.1706 197.592
pion -1 -107.946 248.16 247.021
pion 1 -224.971 80.0294 38.9383
electron -1 -104.4 135.376 -150.575
muon -1 -204.635 18.6935 -27.6881
muon -1 85.6173 -168.524 243.817
pion 1 246.268 -249.932 -46.7185
muon 1 -127.128 245.254 -174.471
electron -1 -124.212 54.842 -178.309
muon 1 -136.631 73.9703 135.787
electron -1 -192.896 39.1945 -141.869
electron -1 -85.5567 204.517 -237.711
electron -1 -172.945 57.7242 -134.547
electron 1 190.942 -94.3098 8.53554
electron -1 230.758 -3.42651 201.398
muon -1 25.6998 -62.6492 10.3212
pion -1 -185.307 36.5684 233.596
pion -1 -227.179 -101.548 -50.1514
muon -1 145.568 151.748 38.0542
muon 1 -120.303 -202.116 111.919
electron -1 112.334 82.832 -96.7682
pion -1 -133.497 -169.96 8.72812
pion 1 7.01531 -234.443 -82.6515
muon -1 -30.6295 218.832 62.4032
pion -1 -46.5013 214.57 13.3694
pion -1 -178.929 -246.764 56.8722
pion 1 2.90349 -216.837 -243.712
muon 1 -224.203 201.495 -225.76
muon 1 -34.8732 -23.4971 7.14039
pion 1 182.109 -59.386 -194.286
pion 1 -60.359 30.8441 145.595
pion 1 -122.277 45.9464 52.8547
pion 1 -96.4086 242.157 -2.47966
pion 1 -236.485 -13.3311 114.225
pion -1 -118.215 -233.344 62.0346
electron 1 -196.451 -16.2412 -65.4497
muon -1 22.5572 -67.4671 5.65248
muon -1 -220.398 48.9452 -171.614
muon -1 -41.9441 195.775 1.30806
muon -1 -15.0676 -165.572 -200.487
muon -1 -100.06 -103.671 41.8977
electron -1 -85.1237 177.35 139.683
pion -1 117.91 -115.449 226.294
electron -1 31.4626 13.2558 -17.9005
muon 1 168.242 -188.772 -72.4154
muon -1 207.716 -229.487 14.5974
muon 1 -105.726 191.075 -168.387
muon -1 77.3777 71.3657 37.0706
electron 1 81.1686 64.6181 -30.2171
muon -1 -128.131 -42.5179 -19.4572
muon -1 -36.9393 222.586 159.023
muon 1 -175.922 16.7714 -88.3974
muon -1 -67.9578 83.6138 172.131
muon 1 -137.446 -106.482 154.815
muon 1 -85.2326 85.7911 83.3041
electron -1 83.6717 -125.883 -127.544
pion 1 -74.3671 204.864 106.448
muon 1 110.613 148.817 229.721
pion -1 24.2509 121.345 -188.752
muon -1 6.82836 -245.927 -151.474
muon -1 -95.4842 85.3888 210.607
electron -1 35.415 62.6846 -246.328
electron 1 87.9604 -16.4852 -100.524
muon 1 -187.786 135.746 -216.129
muon -1 128.317 -77.6293 -84.6163
electron 1 9.58399 -134.341 -102.673
muon -1 -192.218 10.0846 159.238
pion 1 -147.691 -48.895 80.6522
muon -1 204.73 219.988 42.4685
pion 1 55.9587 147.684 70.2662
electron 1 -103.858 -149.913 41.4932
electron -1 -33.4033 217.637 -68.4035
electron 1 -107.942 57.223 -23.9836
pion -1 166.503 18.6 213.18
muon -1 136.985 -55.6397 144.275
pion 1 -83.55 -23.6119 227.495
muon 1 -170.481 208.951 8.52907
electron 1 194.29 -195.874 -118.55
electron -1 -68.2508 198.503 -42.1588
muon -1 211.533 -151.139 -125.413
electron -1 181.066 -27.7077 -202.097
pion 1 -116.004 -81.4665 -24.8854
pion 1 227.527 16.0948 -133.484
pion 1 65.7743 -208.797 -48.6737
muon -1 227.222 111.889 51.5131
electron 1 -96.9862 2.91519 39.0574
muon -1 192.786 -117.985 107.963
pion 1 -114.892 -61.9383 2.25555
electron 1 105.373 -168.913 166.629
muon 1 -97.2457 -209.712 -111.736
pion -1 -207.229 180.145 -224.416
electron 1 208.085 -218.011 -131.783
pion -1 -78.0053 -142.167 101.437
